rowid,year,program,fac_qual_ex,pro_qual_ex,money_sup_ex,field_dev_pace_ex,advising_qual_ex,smart_community_ex,prof_dev_ex,equipment_ex,grad_involve_ex,research_opp_ex,grad_fair_assess_ex,promote_inclu_ex,grant_train_ex,teach_prep_ex,grad_clear_assess_ex,inter_sup_ex,prof_ethic_train_ex,fac_qual_ex_good,pro_qual_ex_good,money_sup_ex_good,field_dev_pace_ex_good,advising_qual_ex_good,smart_community_ex_good,prof_dev_ex_good,equipment_ex_good,grad_involve_ex_good,research_opp_ex_good,grad_fair_assess_ex_good,promote_inclu_ex_good,grant_train_ex_good,teach_prep_ex_good,grad_clear_assess_ex_good,inter_sup_ex_good,prof_ethic_train_ex_good,fac_qual_fair_poor,pro_qual_fair_poor,money_sup_fair_poor,field_dev_pace_fair_poor,advising_qual_fair_poor,smart_community_fair_poor,prof_dev_fair_poor,equipment_fair_poor,grad_involve_fair_poor,research_opp_fair_poor,grad_fair_assess_fair_poor,promote_inclu_fair_poor,grant_train_fair_poor,teach_prep_fair_poor,grad_clear_assess_fair_poor,inter_sup_fair_poor,prof_ethic_train_fair_poor,encourage_agree,idea_resp_agree,construct_feed_agree,time_feed_agree,avail_agree,career_sup_agree,stu_equit_agree,ethic_emp_agree,help_secure_fund_agree,help_prof_dev_agree,publish_help_agree,encourage_intel_diff_agree,comfort_talk_issue_agree,encourage_disagree,idea_resp_disagree,construct_feed_disagree,time_feed_disagree,avail_disagree,career_sup_disagree,stu_equit_disagree,ethic_emp_disagree,help_secure_fund_disagree,help_prof_dev_disagree,publish_help_disagree,encourage_intel_diff_disagree,comfort_talk_issue_disagree,collegial_strong,encouraging_strong,supportive_strong,intel_open_strong,inter_open_strong,inclu_stu_color_strong,inclu_gender_strong,inclu_intern_stu_strong,inclu_stu_disab_strong,inclu_first_gen_strong,inclu_stu_sex_orient_strong,collegial_agree,encouraging_agree,supportive_agree,intel_open_agree,inter_open_agree,inclu_stu_color_agree,inclu_gender_agree,inclu_intern_stu_agree,inclu_stu_disab_agree,inclu_first_gen_agree,inclu_stu_sex_orient_agree,collegial_disagree,encouraging_disagree,supportive_disagree,intel_open_disagree,inter_open_disagree,inclu_stu_color_disagree,inclu_gender_disagree,inclu_intern_stu_disagree,inclu_stu_disab_disagree,inclu_first_gen_disagree,inclu_stu_sex_orient_disagree
,2012,human_physiology,70.8,58.3,50,52.2,52.2,47.8,54.2,29.2,25,54.2,39.1,25,16.7,37.5,29.2,12.5,45.8,87.5,83.3,66.7,78.3,78.3,82.6,91.7,45.8,66.7,79.2,73.9,54.2,58.3,70.8,62.5,41.7,83.3,4.2,4.2,4.2,4.3,13,4.3,4.2,20.8,8.3,8.3,13,8.3,12.5,12.5,12.5,12.5,4.2,79.2,82.6,70.8,73.9,83.3,70.8,75,66.7,87.5,70.8,79.2,70.8,66.7,4.2,4.3,4.2,4.3,4.2,0,0,0,4.2,0,0,4.2,4.2,33.3,54.2,65.2,58.3,33.3,37.5,66.7,66.7,25,45.8,45.8,83.3,91.7,91.3,79.2,70.8,62.5,79.2,75,50,62.5,75,4.2,4.2,4.3,8.3,8.3,4.2,4.2,4.2,8.3,4.2,4.2
,2012,mathematics,35.5,32.3,74.2,41.9,9.7,41.9,6.5,41.9,16.1,29,22.6,19.4,6.5,48.4,12.9,0,12.9,90.3,90.3,90.3,96.8,35.5,93.5,22.6,74.2,61.3,80.6,54.8,51.6,19.4,83.9,38.7,6.5,38.7,3.2,6.5,6.5,0,12.9,6.5,22.6,6.5,16.1,3.2,9.7,19.4,35.5,12.9,29,58.1,29,43.5,39.1,43.5,39.1,47.8,47.8,52.2,26.1,13,26.1,52.2,30.4,30.4,0,8.7,8.7,4.3,4.3,0,4.3,8.7,17.4,8.7,4.3,8.7,13,40,33.3,30,34.5,10,27.6,33.3,50,30,34.5,40,90,73.3,76.7,79.3,20,58.6,66.7,86.7,53.3,69,83.3,3.3,0,10,3.4,40,13.8,13.3,6.7,10,6.9,0
,2012,physics,34.1,29.5,63.6,29.5,13.6,36.4,11.4,38.6,20.5,43.2,25,27.3,2.3,11.4,6.8,20.5,4.5,86.4,79.5,84.1,72.7,43.2,77.3,29.5,81.8,63.6,75,56.8,50,27.3,38.6,43.2,61.4,20.5,2.3,2.3,2.3,4.5,27.3,11.4,47.7,2.3,20.5,9.1,15.9,18.2,40.9,27.3,11.4,20.5,50,60,55,47.5,42.5,47.5,50,56.4,35,52.5,35,35,42.1,40,7.5,2.5,5,12.5,0,7.5,5.1,10,0,10,5,10.5,15,55.8,36.4,43.2,31.8,27.3,45.5,52.3,52.3,32.6,36.4,47.7,76.7,65.9,75,75,72.7,72.7,70.5,90.9,58.1,63.6,86.4,2.3,15.9,9.1,6.8,0,2.3,15.9,2.3,9.3,6.8,2.3
,2012,psychology,55.4,30.4,35.7,46.4,26.8,48.2,8.9,10.7,21.4,51.8,28.6,19.6,9.1,3.6,12.5,41.1,17.9,87.5,78.6,66.1,76.8,66.1,73.2,32.1,35.7,55.4,87.5,64.3,48.2,32.7,26.8,39.3,64.3,51.8,3.6,8.9,14.3,5.4,12.5,5.4,28.6,26.8,19.6,3.6,14.3,23.2,34.5,50,17.9,7.1,19.6,71.4,75,62.5,48.2,57.1,69.6,83.9,55.4,46.4,48.2,50.9,53.6,58.9,5.4,1.8,5.4,16.1,10.7,1.8,0,5.4,17.9,17.9,10.9,8.9,10.7,64.8,58.2,57.1,58.9,51.8,42.9,58.9,41.1,29.1,32.1,66.1,92.6,87.3,80.4,83.9,89.3,71.4,91.1,67.9,50.9,62.5,87.5,3.7,3.6,7.1,5.4,1.8,10.7,1.8,3.6,12.7,8.9,5.4
,2015,biology,35.6,23.3,16.3,35.6,25,32.6,14,23.3,4.7,50,22.7,20.9,9.3,4.5,20.5,27.3,4.7,82.2,76.7,58.1,82.2,47.7,72.1,39.5,58.1,46.5,93.2,59.1,44.2,32.6,27.3,40.9,47.7,44.2,0,0,11.6,6.7,18.2,11.6,27.9,7,20.9,0,15.9,20.9,39.5,38.6,27.3,15.9,18.6,63.9,61.1,61.1,33.3,44.4,50,72.2,38.9,52.8,44.4,61.1,55.6,50,0,8.3,8.3,25,8.3,11.1,8.3,11.1,2.8,5.6,5.6,19.4,16.7,29.3,31.7,36.6,36.6,36.6,46.3,63.4,39,36.6,46.3,58.5,92.7,73.2,75.6,87.8,82.9,73.2,80.5,73.2,61,68.3,82.9,2.4,7.3,4.9,2.4,4.9,7.3,4.9,7.3,17.1,4.9,4.9
,2015,chemistry,33.8,14.7,33.3,26.5,19.4,26.5,16.2,25,16.2,29.9,10.3,19.1,10.3,10.4,8.8,28.4,29.4,70.6,61.8,74.2,72.1,47.8,66.2,45.6,63.2,35.3,73.1,32.4,50,33.8,38.8,26.5,47.8,57.4,5.9,10.3,13.6,5.9,23.9,10.3,25,10.3,33.8,6,42.6,16.2,33.8,32.8,51.5,28.4,14.7,59.3,50.8,44.8,44.1,55.9,64.4,60.3,50,56.1,43.1,48.3,43.1,39.7,1.7,8.5,8.6,6.8,5.1,3.4,5.2,5.2,3.5,10.3,1.7,10.3,20.7,25,32.4,32.4,35.3,33.8,35.3,42.6,32.4,19.4,35.3,46.3,80.9,69.1,69.1,79.4,76.5,72.1,85.3,70.6,55.2,73.5,79.1,2.9,10.3,8.8,7.4,4.4,11.8,7.4,11.8,14.9,5.9,4.5
,2015,computer_information_science,14.8,7.4,44.4,11.1,11.1,18.5,3.7,29.6,7.4,14.8,7.4,18.5,3.7,7.4,11.1,18.5,14.8,51.9,48.1,66.7,44.4,51.9,55.6,14.8,63,33.3,55.6,40.7,51.9,29.6,51.9,29.6,37,33.3,3.7,3.7,14.8,29.6,29.6,18.5,55.6,11.1,29.6,29.6,33.3,22.2,37,33.3,40.7,51.9,48.1,52.2,56.5,47.8,43.5,56.5,52.2,60.9,47.8,60.9,50,52.2,39.1,47.8,13,8.7,17.4,13,8.7,17.4,4.3,4.3,13,13.6,13,17.4,13,20,26.9,38.5,32,19.2,65.4,50,69.2,53.8,48,42.3,68,73.1,69.2,68,46.2,88.5,73.1,88.5,84.6,80,76.9,12,15.4,15.4,12,19.2,0,7.7,0,7.7,0,3.8
,2015,geological_sciences,52.4,52.4,47.6,42.9,28.6,47.6,0,47.6,38.1,42.9,19,4.8,4.8,0,14.3,23.8,4.8,90.5,85.7,95.2,95.2,76.2,85.7,20,76.2,76.2,85.7,47.6,42.9,14.3,30,38.1,52.4,38.1,4.8,4.8,0,0,14.3,0,40,4.8,0,4.8,4.8,19,33.3,35,19,19,19,85,70,75,65,68.4,80,90,65,75,65,75,50,55,0,0,5,0,0,5,0,0,0,10,0,0,5,66.7,61.9,57.1,81,42.9,42.9,57.1,28.6,33.3,57.1,50,90.5,95.2,85.7,95.2,85.7,76.2,85.7,66.7,61.9,81,85,0,4.8,4.8,4.8,9.5,14.3,9.5,14.3,19,4.8,0
,2015,human_physiology,53.6,57.1,57.1,60.7,50,32.1,46.4,46.4,28.6,64.3,46.4,39.3,17.9,53.6,25,28.6,50,85.7,85.7,85.7,89.3,75,71.4,71.4,60.7,57.1,96.4,71.4,67.9,32.1,85.7,67.9,64.3,82.1,3.6,3.6,0,3.6,10.7,17.9,10.7,32.1,17.9,0,17.9,7.1,21.4,3.6,17.9,14.3,10.7,88.9,92.6,88.9,63,70.4,81.5,88.9,85.2,70.4,63,74.1,74.1,81.5,0,0,3.7,3.7,0,0,0,0,3.7,3.7,0,0,0,42.9,64.3,60.7,53.6,53.6,75,85.7,75,60.7,71.4,75,82.1,89.3,92.9,82.1,85.7,85.7,100,89.3,78.6,89.3,89.3,3.6,3.6,3.6,7.1,10.7,3.6,0,0,7.1,0,0
,2015,mathematics,33.3,28.6,65.5,41.4,3.4,44.8,0,20.7,10.7,41.4,17.2,14.3,0,41.4,6.9,3.7,3.4,76.7,78.6,86.2,82.8,27.6,89.7,35.7,58.6,46.4,93.1,44.8,32.1,22.2,72.4,31,11.1,31,6.7,7.1,3.4,6.9,37.9,3.4,42.9,24.1,21.4,3.4,41.4,10.7,48.1,13.8,37.9,63,44.8,62.5,70.8,54.2,54.2,62.5,45.8,58.3,22.7,47.6,40.9,55,47.8,45.8,4.2,0,8.3,12.5,4.2,0,0,9.1,9.5,4.5,0,0,16.7,56.7,13.3,17.2,36.7,3.3,23.1,23.3,37.9,33.3,34.6,58.6,90,60,62.1,76.7,33.3,53.8,63.3,75.9,63,80.8,79.3,0,16.7,13.8,3.3,36.7,23.1,20,6.9,7.4,0,6.9
,2015,physics,26.1,22.2,54.3,32.6,8.7,42.2,4.3,30.4,19.6,37,6.5,13.6,2.2,4.3,4.3,13,2.2,76.1,71.1,73.9,76.1,37,82.2,45.7,76.1,45.7,56.5,32.6,40.9,17.8,26.1,19.6,54.3,21.7,0,6.7,6.5,2.2,30.4,8.9,32.6,6.5,17.4,13,37,34.1,53.3,34.8,41.3,21.7,45.7,70.5,56.8,47.7,43.2,52.3,52.3,72.7,47.7,56.8,40.9,54.5,47.7,43.2,4.5,2.3,4.5,11.4,9.1,2.3,2.3,11.4,11.4,11.4,4.5,6.8,13.6,39.1,26.1,30.4,35.6,45.7,39.1,33.3,54.5,22.7,32.6,46.5,73.9,67.4,69.6,82.2,80.4,58.7,64.4,68.2,34.1,41.9,69.8,6.5,15.2,10.9,6.7,2.2,17.4,20,13.6,18.2,14,4.7
,2015,psychology,38.2,27.3,30.9,35.2,20,27.3,10.9,40,20,50.9,21.8,16.4,14.5,13,10.9,21.8,9.1,78.2,65.5,63.6,77.8,47.3,63.6,23.6,78.2,47.3,87.3,61.8,43.6,41.8,33.3,50.9,43.6,45.5,0,3.6,12.7,3.7,21.8,14.5,45.5,7.3,20,0,9.1,21.8,25.5,46.3,14.5,20,23.6,64.8,59.3,48.1,35.2,44.4,46.3,61.1,42.6,38.9,24.1,40.7,37,33.3,5.6,7.4,13,14.8,13,13,1.9,5.6,14.8,16.7,16.7,13,24.1,43.6,36.4,34.5,38.2,47.3,30.9,49.1,34.5,25.5,27.3,49.1,85.5,83.6,76.4,78.2,83.6,61.8,85.5,70.9,54.5,50.9,85.5,1.8,7.3,7.3,9.1,0,12.7,3.6,5.5,18.2,20,3.6
,2012,anthropology,51,42,24.5,52,20,44,10.2,24,18.4,46,16,12,6,6,10,30,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,economics,32.1,26.4,34,26.4,13.2,26.4,22.6,24.5,17,41.5,11.5,13.2,9.4,11.3,9.4,30.2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,environmental_studies,0,3.8,23.1,3.8,3.8,3.8,3.8,15.4,3.8,26.9,4,11.5,3.8,4,8,11.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,geography,43.3,36.7,40,36.7,13.3,53.3,0,16.7,50,63.3,16.7,10,13.8,3.3,6.7,36.7,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,history,70.8,58.3,50,52.2,52.2,47.8,54.2,29.2,25,54.2,39.1,25,16.7,37.5,29.2,12.5,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,international_studies,35.5,32.3,74.2,41.9,9.7,41.9,6.5,41.9,16.1,29,22.6,19.4,6.5,48.4,12.9,0,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,political_science,34.1,29.5,63.6,29.5,13.6,36.4,11.4,38.6,20.5,43.2,25,27.3,2.3,11.4,6.8,20.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,sociology,55.4,30.4,35.7,46.4,26.8,48.2,8.9,10.7,21.4,51.8,28.6,19.6,9.1,3.6,12.5,41.1,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,environmental_studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,international_studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,political_science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,sociology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,communication_disorder_sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,counseling_psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,couples_family_therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,critical_cultural_studies_ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,curriculum_teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,educational_meth_policy_lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,school_psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,special_education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,communication_disorder_sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,counseling_psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,couples_family_therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,critical_cultural_studies_ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,curriculum_teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,educational_meth_policy_lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,school_psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,special_education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
